Country,year,score
Austria,2017,7.006
Australia,2017,7.284
Costa Rica,2017,7.079
Israel,2017,7.213
Luxembourg,2017,6.863
United Kingdom,2017,6.714
Ireland,2017,6.977
Germany,2017,6.951
Belgium,2017,6.891
United States,2017,6.993
Czech Republic,2017,6.609
United Arab Emirates,2017,6.648
Malta,2017,6.527
Mexico,2017,6.578
France,2017,6.442
Taiwan,2017,0
Chile,2017,6.652
Guatemala,2017,6.454
Saudi Arabia,2017,6.344
Qatar,2017,6.375
Spain,2017,6.403
Panama,2017,6.452
Brazil,2017,6.635
Uruguay,2017,6.454
Singapore,2017,6.572
El Salvador,2017,6.003
Italy,2017,5.964
Bahrain,2017,6.087
Slovakia,2017,6.098
Trinidad & Tobago,2017,0
Poland,2017,5.973
Uzbekistan,2017,5.971
Lithuania,2017,5.902
Colombia,2017,6.357
Slovenia,2017,5.758
Nicaragua,2017,6.071
Kosovo,2017,5.279
Argentina,2017,6.599
Romania,2017,5.825
Cyprus,2017,5.621
Ecuador,2017,6.008
Kuwait,2017,6.105
Thailand,2017,6.424
Latvia,2017,5.85
South Korea,2017,5.838
Estonia,2017,5.611
Jamaica,2017,5.311
Mauritius,2017,5.629
Japan,2017,5.92
Honduras,2017,5.181
Kazakhstan,2017,5.819
Bolivia,2017,5.823
Hungary,2017,5.324
Paraguay,2017,5.493
Northern Cyprus,2017,0
Peru,2017,5.715
Portugal,2017,5.195
Pakistan,2017,5.269
Russia,2017,5.963
Philippines,2017,5.43
Serbia,2017,5.395
Moldova,2017,5.838
Libya,2017,5.525
Montenegro,2017,5.237
Tajikistan,2017,5.041
Croatia,2017,5.293
Hong Kong,2017,0
Dominican Republic,2017,5.23
Bosnia and Herzegovina,2017,5.182
Turkey,2017,5.5
Malaysia,2017,6.084
Belarus,2017,5.569
Greece,2017,5.227
Mongolia,2017,4.955
North Macedonia,2017,0
Nigeria,2017,5.074
Kyrgyzstan,2017,5.004
Turkmenistan,2017,5.822
Algeria,2017,5.872
Morocco,2017,5.235
Azerbaijan,2017,5.234
Lebanon,2017,5.225
Indonesia,2017,5.262
China,2017,5.273
Vietnam,2017,5.074
Bhutan,2017,5.011
Cameroon,2017,4.695
Bulgaria,2017,4.714
Ghana,2017,4.12
Ivory Coast,2017,4.18
Nepal,2017,4.962
Jordan,2017,5.336
Benin,2017,3.657
Congo (Brazzaville),2017,4.291
Gabon,2017,4.465
Laos,2017,0
South Africa,2017,4.829
Albania,2017,4.644
Venezuela,2017,5.25
Cambodia,2017,4.168
Palestinian Territories,2017,4.775
Senegal,2017,4.535
Somalia,2017,5.151
Namibia,2017,4.574
Niger,2017,4.028
Burkina Faso,2017,4.032
Armenia,2017,4.376
Iran,2017,4.692
Guinea,2017,3.507
Georgia,2017,4.286
Gambia,2017,0
Kenya,2017,4.553
Mauritania,2017,4.292
Mozambique,2017,4.55
Tunisia,2017,4.805
Bangladesh,2017,4.608
Iraq,2017,4.497
Congo (Kinshasa),2017,4.28
Mali,2017,4.19
Sierra Leone,2017,4.709
Sri Lanka,2017,4.44
Myanmar,2017,4.545
Chad,2017,3.936
Ukraine,2017,4.096
Ethiopia,2017,4.46
Swaziland,2017,0
Uganda,2017,4.081
Egypt,2017,4.735
Zambia,2017,4.514
Togo,2017,3.495
India,2017,4.315
Liberia,2017,3.533
Comoros,2017,0
Madagascar,2017,3.644
Lesotho,2017,3.808
Burundi,2017,2.905
Zimbabwe,2017,3.875
Haiti,2017,3.603
Botswana,2017,3.766
Syria,2017,3.462
Malawi,2017,3.97
Yemen,2017,3.593
Rwanda,2017,3.471
Tanzania,2017,3.349
Afghanistan,2017,3.794
Central African Republic,2017,2.693
South Sudan,2017,3.591
Finland,2016,7.413
Denmark,2016,7.526
Norway,2016,7.498
Iceland,2016,7.501
Netherlands,2016,7.339
Switzerland,2016,7.509
Sweden,2016,7.291
New Zealand,2016,7.334
Canada,2016,7.404
Austria,2016,7.119
Australia,2016,7.313
Costa Rica,2016,7.087
Israel,2016,7.267
Luxembourg,2016,6.871
United Kingdom,2016,6.725
Ireland,2016,6.907
Germany,2016,6.994
Belgium,2016,6.929
United States,2016,7.104
Czech Republic,2016,6.596
United Arab Emirates,2016,6.573
Malta,2016,6.488
Mexico,2016,6.778
France,2016,6.478
Taiwan,2016,6.379
Chile,2016,6.705
Guatemala,2016,6.324
Saudi Arabia,2016,6.379
Qatar,2016,6.375
Spain,2016,6.361
Panama,2016,6.701
Brazil,2016,6.952
Uruguay,2016,6.545
Singapore,2016,6.739
El Salvador,2016,6.068
Italy,2016,5.977
Bahrain,2016,6.218
Slovakia,2016,6.078
Trinidad & Tobago,2016,0
Poland,2016,5.835
Uzbekistan,2016,5.987
Lithuania,2016,5.813
Colombia,2016,6.481
Slovenia,2016,5.768
Nicaragua,2016,5.992
Kosovo,2016,5.401
Argentina,2016,6.65
Romania,2016,5.528
Cyprus,2016,5.546
Ecuador,2016,5.976
Kuwait,2016,6.239
Thailand,2016,6.474
Latvia,2016,5.56
South Korea,2016,5.835
Estonia,2016,5.517
Jamaica,2016,5.51
Mauritius,2016,5.648
Japan,2016,5.921
Honduras,2016,4.871
Kazakhstan,2016,5.919
Bolivia,2016,5.822
Hungary,2016,5.145
Paraguay,2016,5.538
Northern Cyprus,2016,0
Peru,2016,5.743
Portugal,2016,5.123
Pakistan,2016,5.132
Russia,2016,5.856
Philippines,2016,5.279
Serbia,2016,5.177
Moldova,2016,5.897
Libya,2016,5.615
Montenegro,2016,5.161
Tajikistan,2016,4.996
Croatia,2016,5.488
Hong Kong,2016,5.458
Dominican Republic,2016,5.155
Bosnia and Herzegovina,2016,5.163
Turkey,2016,5.389
Malaysia,2016,6.005
Belarus,2016,5.802
Greece,2016,5.033
Mongolia,2016,4.907
North Macedonia,2016,0
Nigeria,2016,4.875
Kyrgyzstan,2016,5.185
Turkmenistan,2016,5.658
Algeria,2016,6.355
Morocco,2016,5.151
Azerbaijan,2016,5.291
Lebanon,2016,5.129
Indonesia,2016,5.314
China,2016,5.245
Vietnam,2016,5.061
Bhutan,2016,5.196
Cameroon,2016,4.513
Bulgaria,2016,4.217
Ghana,2016,4.276
Ivory Coast,2016,3.916
Nepal,2016,4.793
Jordan,2016,5.303
Benin,2016,3.484
Congo (Brazzaville),2016,4.236
Gabon,2016,4.121
Laos,2016,4.876
South Africa,2016,4.459
Albania,2016,4.655
Venezuela,2016,6.084
Cambodia,2016,3.907
Palestinian Territories,2016,4.754
Senegal,2016,4.219
Somalia,2016,5.44
Namibia,2016,4.574
Niger,2016,3.856
Burkina Faso,2016,3.739
Armenia,2016,4.36
Iran,2016,4.813
Guinea,2016,3.607
Georgia,2016,4.252
Gambia,2016,0
Kenya,2016,4.356
Mauritania,2016,4.201
Mozambique,2016,0
Tunisia,2016,5.045
Bangladesh,2016,4.643
Iraq,2016,4.575
Congo (Kinshasa),2016,4.272
Mali,2016,4.073
Sierra Leone,2016,4.635
Sri Lanka,2016,4.415
Myanmar,2016,4.395
Chad,2016,3.763
Ukraine,2016,4.324
Ethiopia,2016,4.508
Swaziland,2016,0
Uganda,2016,3.739
Egypt,2016,4.362
Zambia,2016,4.795
Togo,2016,3.303
India,2016,4.404
Liberia,2016,3.622
Comoros,2016,3.956
Madagascar,2016,3.695
Lesotho,2016,0
Burundi,2016,2.905
Zimbabwe,2016,4.193
Haiti,2016,4.028
Botswana,2016,3.974
Syria,2016,3.069
Malawi,2016,4.156
Yemen,2016,3.724
Rwanda,2016,3.515
Tanzania,2016,3.666
Afghanistan,2016,3.36
Central African Republic,2016,0
South Sudan,2016,3.832
Finland,2015,7.406
Denmark,2015,7.527
Norway,2015,7.522
Iceland,2015,7.561
Netherlands,2015,7.378
Switzerland,2015,7.587
Sweden,2015,7.364
New Zealand,2015,7.286
Canada,2015,7.427
Austria,2015,7.2
Australia,2015,7.284
Costa Rica,2015,7.226
Israel,2015,7.278
Luxembourg,2015,6.946
United Kingdom,2015,6.867
Ireland,2015,6.94
Germany,2015,6.75
Belgium,2015,6.937
United States,2015,7.119
Czech Republic,2015,6.505
United Arab Emirates,2015,6.901
Malta,2015,6.302
Mexico,2015,7.187
France,2015,6.575
Taiwan,2015,6.298
Chile,2015,6.67
Guatemala,2015,6.123
Saudi Arabia,2015,6.411
Qatar,2015,6.611
Spain,2015,6.329
Panama,2015,6.786
Brazil,2015,6.983
Uruguay,2015,6.485
Singapore,2015,6.798
El Salvador,2015,6.13
Italy,2015,5.948
Bahrain,2015,5.96
Slovakia,2015,5.995
Trinidad & Tobago,2015,0
Poland,2015,5.791
Uzbekistan,2015,6.003
Lithuania,2015,5.833
Colombia,2015,6.477
Slovenia,2015,5.848
Nicaragua,2015,5.828
Kosovo,2015,5.589
Argentina,2015,6.574
Romania,2015,5.124
Cyprus,2015,5.689
Ecuador,2015,5.975
Kuwait,2015,6.295
Thailand,2015,6.455
Latvia,2015,5.098
South Korea,2015,5.984
Estonia,2015,5.429
Jamaica,2015,5.709
Mauritius,2015,5.477
Japan,2015,5.987
Honduras,2015,4.788
Kazakhstan,2015,5.855
Bolivia,2015,5.89
Hungary,2015,4.8
Paraguay,2015,5.878
Northern Cyprus,2015,0
Peru,2015,5.824
Portugal,2015,5.102
Pakistan,2015,5.194
Russia,2015,5.716
Philippines,2015,5.073
Serbia,2015,5.123
Moldova,2015,5.889
Libya,2015,5.754
Montenegro,2015,5.192
Tajikistan,2015,4.786
Croatia,2015,5.759
Hong Kong,2015,5.474
Dominican Republic,2015,4.885
Bosnia and Herzegovina,2015,4.949
Turkey,2015,5.332
Malaysia,2015,5.77
Belarus,2015,5.813
Greece,2015,4.857
Mongolia,2015,4.874
North Macedonia,2015,0
Nigeria,2015,5.268
Kyrgyzstan,2015,5.286
Turkmenistan,2015,5.548
Algeria,2015,5.605
Morocco,2015,5.013
Azerbaijan,2015,5.212
Lebanon,2015,4.839
Indonesia,2015,5.399
China,2015,5.14
Vietnam,2015,5.36
Bhutan,2015,5.253
Cameroon,2015,4.252
Bulgaria,2015,4.218
Ghana,2015,4.633
Ivory Coast,2015,3.655
Nepal,2015,4.514
Jordan,2015,5.192
Benin,2015,3.34
Congo (Brazzaville),2015,3.989
Gabon,2015,3.896
Laos,2015,4.876
South Africa,2015,4.642
Albania,2015,4.959
Venezuela,2015,6.81
Cambodia,2015,3.819
Palestinian Territories,2015,4.715
Senegal,2015,3.904
Somalia,2015,0
Namibia,2015,0
Niger,2015,3.845
Burkina Faso,2015,3.587
Armenia,2015,4.35
Iran,2015,4.686
Guinea,2015,3.656
Georgia,2015,4.297
Gambia,2015,0
Kenya,2015,4.419
Mauritania,2015,4.436
Mozambique,2015,4.971
Tunisia,2015,4.739
Bangladesh,2015,4.694
Iraq,2015,4.677
Congo (Kinshasa),2015,4.517
Mali,2015,3.995
Sierra Leone,2015,4.507
Sri Lanka,2015,4.271
Myanmar,2015,4.307
Chad,2015,3.667
Ukraine,2015,4.681
Ethiopia,2015,4.512
Swaziland,2015,4.867
Uganda,2015,3.931
Egypt,2015,4.194
Zambia,2015,5.129
Togo,2015,2.839
India,2015,4.565
Liberia,2015,4.571
Comoros,2015,3.956
Madagascar,2015,3.681
Lesotho,2015,4.898
Burundi,2015,2.905
Zimbabwe,2015,4.61
Haiti,2015,4.518
Botswana,2015,4.332
Syria,2015,3.006
Malawi,2015,4.292
Yemen,2015,4.077
Rwanda,2015,3.465
Tanzania,2015,3.781
Afghanistan,2015,3.575
Central African Republic,2015,3.678
South Sudan,2015,0
